Train Loss: 48.39458084106445 | Epochs: 1 | Steps: 100
Train Loss: 36.35084857940674 | Epochs: 1 | Steps: 200
Train Loss: 32.16986948013306 | Epochs: 1 | Steps: 300
Train Loss: 32.89192998886109 | Epochs: 1 | Steps: 400
Train Loss: 25.40301380157471 | Epochs: 1 | Steps: 500
Train Loss: 25.889565715789796 | Epochs: 1 | Steps: 600
Train Loss: 22.254448318481444 | Epochs: 1 | Steps: 700
Train Loss: 21.302195987701417 | Epochs: 1 | Steps: 800
Train Loss: 24.509813385009764 | Epochs: 1 | Steps: 900
Train Loss: 19.791154356002806 | Epochs: 1 | Steps: 1000
Train Loss: 19.366596088409423 | Epochs: 1 | Steps: 1100
Train Loss: 21.025407962799072 | Epochs: 1 | Steps: 1200
Train Loss: 17.59283766746521 | Epochs: 1 | Steps: 1300
Train Loss: 17.334262981414795 | Epochs: 1 | Steps: 1400
Train Loss: 17.89078175544739 | Epochs: 1 | Steps: 1500
Train Loss: 14.585423545837402 | Epochs: 1 | Steps: 1600
Train Loss: 18.105402574539184 | Epochs: 1 | Steps: 1700
Train Loss: 20.872547807693483 | Epochs: 1 | Steps: 1800
Train Loss: 16.872846040725708 | Epochs: 1 | Steps: 1900
Train Loss: 20.724648332595827 | Epochs: 1 | Steps: 2000
Train Loss: 16.964785013198853 | Epochs: 1 | Steps: 2100
Train Loss: 14.830836086273193 | Epochs: 1 | Steps: 2200
Train Loss: 19.89294511795044 | Epochs: 1 | Steps: 2300
Train Loss: 16.491199226379393 | Epochs: 1 | Steps: 2400
Train Loss: 18.130248317718507 | Epochs: 1 | Steps: 2500
Train Loss: 18.407106075286865 | Epochs: 1 | Steps: 2600
Train Loss: 15.317193603515625 | Epochs: 1 | Steps: 2700
Train Loss: 15.822971086502076 | Epochs: 1 | Steps: 2800
Train Loss: 14.62223991394043 | Epochs: 1 | Steps: 2900
Train Loss: 13.895856924057007 | Epochs: 1 | Steps: 3000
Train Loss: 13.620261268615723 | Epochs: 1 | Steps: 3100
Train Loss: 14.068126993179321 | Epochs: 1 | Steps: 3200
Train Loss: 14.448815650939942 | Epochs: 1 | Steps: 3300
Train Loss: 14.278501342324649 | Epochs: 2 | Steps: 3470
Train Loss: 12.57356110572815 | Epochs: 2 | Steps: 3570
Train Loss: 12.405329904556275 | Epochs: 2 | Steps: 3670
Train Loss: 13.272771544456482 | Epochs: 2 | Steps: 3770
Train Loss: 11.496159834861755 | Epochs: 2 | Steps: 3870
Train Loss: 11.521274714469909 | Epochs: 2 | Steps: 3970
Train Loss: 10.526155519485474 | Epochs: 2 | Steps: 4070
Train Loss: 10.545970811843873 | Epochs: 2 | Steps: 4170
Train Loss: 11.730773968696594 | Epochs: 2 | Steps: 4270
Train Loss: 10.818413043022156 | Epochs: 2 | Steps: 4370
Train Loss: 10.923798556327819 | Epochs: 2 | Steps: 4470
Train Loss: 11.263678259849549 | Epochs: 2 | Steps: 4570
Train Loss: 10.149085965156555 | Epochs: 2 | Steps: 4670
Train Loss: 10.333563947677613 | Epochs: 2 | Steps: 4770
Train Loss: 10.618698992729186 | Epochs: 2 | Steps: 4870
Train Loss: 9.264681391716003 | Epochs: 2 | Steps: 4970
Train Loss: 10.787223653793335 | Epochs: 2 | Steps: 5070
Train Loss: 12.151925926208497 | Epochs: 2 | Steps: 5170
Train Loss: 10.439406695365905 | Epochs: 2 | Steps: 5270
Train Loss: 11.510883092880249 | Epochs: 2 | Steps: 5370
Train Loss: 10.476796650886536 | Epochs: 2 | Steps: 5470
Train Loss: 9.794458198547364 | Epochs: 2 | Steps: 5570
Train Loss: 12.255324201583862 | Epochs: 2 | Steps: 5670
Train Loss: 10.921683983802795 | Epochs: 2 | Steps: 5770
Train Loss: 11.866295580863953 | Epochs: 2 | Steps: 5870
Train Loss: 12.230196533203125 | Epochs: 2 | Steps: 5970
Train Loss: 10.913946194648743 | Epochs: 2 | Steps: 6070
Train Loss: 11.447898507118225 | Epochs: 2 | Steps: 6170
Train Loss: 10.682721691131592 | Epochs: 2 | Steps: 6270
Train Loss: 10.504014625549317 | Epochs: 2 | Steps: 6370
Train Loss: 10.34545835018158 | Epochs: 2 | Steps: 6470
Train Loss: 10.677483081817627 | Epochs: 2 | Steps: 6570
Train Loss: 11.14455777168274 | Epochs: 2 | Steps: 6670
Train Loss: 11.108788983962116 | Epochs: 3 | Steps: 6840
Train Loss: 10.026931648254395 | Epochs: 3 | Steps: 6940
Train Loss: 9.893218541145325 | Epochs: 3 | Steps: 7040
Train Loss: 10.500538873672486 | Epochs: 3 | Steps: 7140
Train Loss: 9.35063826084137 | Epochs: 3 | Steps: 7240
Train Loss: 9.33737732887268 | Epochs: 3 | Steps: 7340
Train Loss: 8.73263373374939 | Epochs: 3 | Steps: 7440
Train Loss: 8.761402416229249 | Epochs: 3 | Steps: 7540
Train Loss: 9.753140482902527 | Epochs: 3 | Steps: 7640
Train Loss: 9.167226719856263 | Epochs: 3 | Steps: 7740
Train Loss: 9.255951719284058 | Epochs: 3 | Steps: 7840
Train Loss: 9.427163739204406 | Epochs: 3 | Steps: 7940
Train Loss: 8.684120168685913 | Epochs: 3 | Steps: 8040
Train Loss: 8.735980753898621 | Epochs: 3 | Steps: 8140
Train Loss: 9.178970775604249 | Epochs: 3 | Steps: 8240
Train Loss: 8.198716492652894 | Epochs: 3 | Steps: 8340
Train Loss: 9.171996774673461 | Epochs: 3 | Steps: 8440
Train Loss: 10.562102732658387 | Epochs: 3 | Steps: 8540
Train Loss: 9.424239425659179 | Epochs: 3 | Steps: 8640
Train Loss: 9.881657123565674 | Epochs: 3 | Steps: 8740
Train Loss: 9.329674248695374 | Epochs: 3 | Steps: 8840
Train Loss: 8.90324486732483 | Epochs: 3 | Steps: 8940
Train Loss: 10.49919352054596 | Epochs: 3 | Steps: 9040
Train Loss: 9.974470496177673 | Epochs: 3 | Steps: 9140
Train Loss: 10.490833654403687 | Epochs: 3 | Steps: 9240
Train Loss: 11.02564748764038 | Epochs: 3 | Steps: 9340
Train Loss: 10.187992038726806 | Epochs: 3 | Steps: 9440
Train Loss: 10.383737568855286 | Epochs: 3 | Steps: 9540
Train Loss: 9.55067898273468 | Epochs: 3 | Steps: 9640
Train Loss: 9.512453393936157 | Epochs: 3 | Steps: 9740
Train Loss: 9.451514501571655 | Epochs: 3 | Steps: 9840
Train Loss: 9.607921195030212 | Epochs: 3 | Steps: 9940
Train Loss: 10.049190168380738 | Epochs: 3 | Steps: 10040
